,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
2011,"The effects of mainstream and emerging customer orientations on radical and disruptive innovations","Govindarajan V., Kopalle P.K., Danneels E.",07376782,"Journal of Product Innovation Management",28, 1,0,0,0,0,0,1,5,14,8,13,15,14,8,2,80,0,80
2011,"Product innovation for the peoples car in an emerging economy","Ray S., Kanta Ray P.",01664972,"Technovation",31, 5-6,0,0,0,0,0,3,4,10,7,9,15,20,11,0,79,0,79
2013,"Knowledge management in the age of cloud computing and Web 2.0: Experiencing the power of disruptive innovations","Sultan N.",02684012,"International Journal of Information Management",33, 1,0,0,0,0,0,0,5,9,16,11,14,9,14,0,78,0,78
2014,"Household level innovation diffusion model of photo-voltaic (PV) solar cells from stated preference data","Islam T.",03014215,"Energy Policy",65, ,0,0,0,0,0,0,0,5,10,10,9,15,19,8,76,0,76
2012,"The inevitability of open access","Lewis D.W.",00100870,"College and Research Libraries",73, 5,0,0,0,0,0,2,11,13,6,12,15,6,11,0,76,0,76
2012,"Business orientations and innovation in small and medium sized enterprises","Zortea-Johnston E., Darroch J., Matear S.",15547191,"International Entrepreneurship and Management Journal",8, 2,0,0,0,0,4,1,26,5,3,10,12,5,7,1,74,0,74
2016,"The disruptor's dilemma: TiVo and the U.S. television ecosystem","Ansari S.S., Garud R., Kumaraswamy A.",01432095,"Strategic Management Journal",37, 9,0,0,0,0,0,0,0,0,0,1,10,29,31,2,73,0,73
2013,"The challenge of the proteome dynamic range and its implications for in-depth proteomics","Zubarev R.A.",16159853,"Proteomics",13, 5,0,0,0,0,0,0,2,12,15,8,9,13,12,0,71,0,71
2010,"Distributed simulation Accessible immersive training","Kneebone R., Arora S., King D., Bello F., Sevdalis N., Kassab E., Aggarwal R., Darzi A., Nestel D.",0142159X,"Medical Teacher",32, 1,0,0,0,4,9,10,11,8,10,8,5,2,4,0,71,0,71
2015,"Reflective thoughts on the potential and challenges of wearable technology for healthcare provision and medical education","Sultan N.",02684012,"International Journal of Information Management",35, 5,0,0,0,0,0,0,0,0,2,8,11,24,23,2,70,0,70
2015,"The role of dynamic capabilities in responding to digital disruption: A factor-based study of the newspaper industry","Karimi J., Walter Z.",07421222,"Journal of Management Information Systems",32, 1,0,0,0,0,0,0,0,0,2,8,10,17,30,2,69,0,69
2015,"Key determinants of passenger loyalty in the low-cost airline business","Akamavi R.K., Mohamed E., Pellmann K., Xu Y.",02615177,"Tourism Management",46, ,0,0,0,0,0,0,0,0,2,13,15,16,22,1,69,0,69
2011,"Development of an eco-ideation tool to identify stepwise greenhouse gas emissions reduction options for consumer goods","Bocken N.M.P., Allwood J.M., Willey A.R., King J.M.H.",09596526,"Journal of Cleaner Production",19, 12,0,0,0,0,0,6,3,8,10,13,6,14,8,0,68,0,68
2010,"The social innovation process: Themes, challenges and implications for practice","Lettice F., Parekh M.",02675730,"International Journal of Technology Management",51, 1,0,0,0,0,0,2,2,7,8,3,15,7,23,1,68,0,68
2010,"Lean six sigma, creativity, and innovation","Hoerl R.W., Gardner M.M.",20404166,"International Journal of Lean Six Sigma",1, 1,0,0,0,0,1,6,4,6,10,8,5,8,15,2,65,0,65
2015,"Explorative versus exploitative business model change: The cognitive antecedents of firm-level responses to disruptive innovation","Osiyevskyy O., Dewald J.",19324391,"Strategic Entrepreneurship Journal",9, 1,0,0,0,0,0,0,0,0,3,10,12,12,25,2,64,0,64
2010,"Storm clouds and silver linings: Responding to disruptive innovations through cognitive resilience","Dewald J., Bowen F.",10422587,"Entrepreneurship: Theory and Practice",34, 1,0,0,0,1,1,1,2,11,7,9,7,11,10,0,60,0,60
2015,"How useful is the theory of disruptive innovation?","King A.A., Baatartogtokh B.",15329194,"MIT Sloan Management Review",57, 1,0,0,0,0,0,0,0,0,0,6,11,19,23,0,59,0,59
2013,"How disruptive is frugal?","Rao B.C.",0160791X,"Technology in Society",35, 1,0,0,0,0,0,0,1,1,2,12,15,14,10,4,59,0,59
2009,"MR-Guided Focused Ultrasound: A Potentially Disruptive Technology","Bradley Jr. W.G.",15461440,"Journal of the American College of Radiology",6, 7,0,0,2,5,12,9,7,4,8,5,2,3,1,0,58,0,58
2015,"Antecedents and implications of disruptive innovation: Evidence from China","Wan F., Williamson P.J., Yin E.",01664972,"Technovation",39-40, 1,0,0,0,0,0,0,0,0,2,5,12,14,21,2,56,0,56
2012,"Incumbent performance in the face of a radical innovation: Towards a framework for incumbent challenger dynamics","Ansari S., Krop P.",00487333,"Research Policy",41, 8,0,0,0,0,0,0,3,3,5,8,4,16,13,4,56,0,56
2010,"Developing disruptive products for emerging economies: Lessons from asian cases","Hang C.-C., Chen J., Subramian A.M.",08956308,"Research Technology Management",53, 4,0,0,0,0,2,2,1,12,4,14,8,8,5,0,56,0,56
2016,"An empirical study of the rise of big data in business scholarship","Frizzo-Barker J., Chow-White P.A., Mozafari M., Ha D.",02684012,"International Journal of Information Management",36, 3,0,0,0,0,0,0,0,0,0,3,6,23,20,2,54,0,54
2010,"The growth, characteristics, and future of online CME","Harris J.M., Sklar B.M., Amend R.W., Novalis-Marine C.",08941912,"Journal of Continuing Education in the Health Professions",30, 1,0,0,0,3,7,7,5,14,4,5,3,2,4,0,54,0,54
2018,"Motivations and constraints of Airbnb consumers: Findings from a mixed-methods approach","So K.K.F., Oh H., Min S.",02615177,"Tourism Management",67, ,0,0,0,0,0,0,0,0,0,0,0,4,40,6,50,0,50
2014,"Integrating genetics and social science: Genetic risk scores","Belsky D.W., Israel S.",19485565,"Biodemography and Social Biology",60, 2,0,0,0,0,0,0,0,0,3,8,13,13,13,0,50,0,50
2011,"The three faces of Business model innovation: Challenges for established firms","Koen P.A., Bertels H.M.J., Elsum I.R.",08956308,"Research Technology Management",54, 3,0,0,0,0,0,2,3,5,8,7,11,6,8,0,50,0,50
2015,"Strategy and business model design in dynamic telecommunications industries: A study on Italian mobile network operators","Ghezzi A., Cortimiglia M.N., Frank A.G.",00401625,"Technological Forecasting and Social Change",90, ,0,0,0,0,0,0,0,0,4,12,11,7,13,2,49,0,49
2013,"Creative Destruction: An Exploratory Study of How Digitally Native News Nonprofits Are Innovating Online Journalism Practices","Nee R.C.",14241277,"JMM International Journal on Media Management",15, 1,0,0,0,0,0,0,1,1,5,9,11,12,10,0,49,0,49
2010,"Discontinuous innovation capability accumulation in latecomer natural resource-processing firms","Figueiredo P.N.",00401625,"Technological Forecasting and Social Change",77, 7,0,0,0,1,4,3,5,5,4,10,4,7,5,1,49,0,49
2015,"Drivers of the use and facilitators and obstacles of the evolution of big data by the audit profession","Alles M.G.",08887993,"Accounting Horizons",29, 2,0,0,0,0,0,0,0,0,2,4,11,13,16,0,46,0,46
2016,"Business models as drivers of the low carbon power system transition: A multi-level perspective","Wainstein M.E., Bumpus A.G.",09596526,"Journal of Cleaner Production",126, ,0,0,0,0,0,0,0,0,0,1,10,11,19,4,45,0,45
2009,"Ex ante identification of disruptive innovations in the software industry applied to web applications: The case of Microsoft's vs. Google's office applications","Keller A., Husig S.",00401625,"Technological Forecasting and Social Change",76, 8,0,0,0,1,2,2,5,6,5,4,5,5,8,1,44,0,44
2009,"Managing learning in the automotive industry -the innovation race for electric vehicles","Aggeri F., Elmquist M., Pohl H.",14709511,"International Journal of Automotive Technology and Management",9, 2,0,0,0,4,6,2,9,3,5,7,0,5,3,0,44,0,44
2011,"Jugaad as systemic risk and disruptive innovation in India","Birtchnell T.",09584935,"Contemporary South Asia",19, 4,0,0,0,0,0,3,4,6,2,5,7,8,6,2,43,0,43
2015,"A novel dual-wavelength, Nd:YAG, picosecond-domain laser safely and effectively removes multicolor tattoos","Bernstein E.F., Schomacker K.T., Basilavecchio L.D., Plugis J.M., Bhawalkar J.D.",01968092,"Lasers in Surgery and Medicine",47, 7,0,0,0,0,0,0,0,0,0,4,12,13,13,0,42,0,42
2013,"Reclaiming the commons for urban transformation","Radywyl N., Bigg C.",09596526,"Journal of Cleaner Production",50, ,0,0,0,0,0,0,1,0,8,2,11,7,13,0,42,0,42
2014,"Government's role in disruptive innovation and industry emergence: The case of the electric bike in China","Ruan Y., Hang C.C., Wang Y.M.",01664972,"Technovation",34, 12,0,0,0,0,0,0,0,1,1,4,8,9,17,0,40,0,40
2016,"The non-disruptive emergence of an ecosystem for 3D Printing - Insights from the hearing aid industry's transition 1989-2008","Sandstrom C.G.",00401625,"Technological Forecasting and Social Change",102, ,0,0,0,0,0,0,0,0,0,7,6,15,10,1,39,0,39
2012,"Continuity and change in a spin-off venture: The process of reimprinting","Ferriani S., Garnsey E., Lorenzoni G.",09606491,"Industrial and Corporate Change",21, 4,0,0,0,0,0,0,3,4,6,4,4,5,11,2,39,0,39
2012,"Assessing India's lead market potential for cost-effective innovations","Tiwari R., Herstatt C.",17554195,"Journal of Indian Business Research",4, 2,0,0,0,0,0,0,2,4,4,5,9,9,5,1,39,0,39
2016,"Knowledge, firm boundaries, and innovation: Mitigating the incumbent's curse during radical technological change","Roy R., Sarkar M.",01432095,"Strategic Management Journal",37, 5,0,0,0,0,0,0,0,0,0,1,9,11,15,2,38,0,38
2015,"Smartphone Self-Monitoring to support self-management among people living with HIV: Perceived benefits and theory of change from a mixed-methods randomized pilot study","Swendeman D., Ramanathan N., Baetscher L., Medich M., Scheffler A., Comulada W.S., Estrin D.",15254135,"Journal of Acquired Immune Deficiency Syndromes",69, ,0,0,0,0,0,0,0,0,2,5,8,11,12,0,38,0,38
2012,"Autonomous teams and new product development","Patanakul P., Chen J., Lynn G.S.",07376782,"Journal of Product Innovation Management",29, 5,0,0,0,0,0,0,1,3,5,8,8,7,5,1,38,0,38
2014,"Investigating MOOCs through blog mining","Chen Y.",14923831,"International Review of Research in Open and Distance Learning",15, 2,0,0,0,0,0,0,0,1,5,4,8,11,8,0,37,0,37
2012,"Using new social media and Web 2.0 technologies in business school teaching and learning","Thomas M., Thomas H.",02621711,"Journal of Management Development",31, 4,0,0,0,0,1,0,4,8,6,7,6,2,2,1,37,0,37
2018,"Airbnb's effect on hotel sales growth","Blal I., Singal M., Templin J.",02784319,"International Journal of Hospitality Management",73, ,0,0,0,0,0,0,0,0,0,0,0,4,25,7,36,0,36
2011,"Creating technology candidates for disruptive innovation: Generally applicable R &amp; D strategies","Yu D., Hang C.C.",01664972,"Technovation",31, 8,0,0,0,0,2,2,7,5,3,1,4,8,4,0,36,0,36
2008,"RFID as a disruptive innovation","Krotov V., Junglas I.",07181876,"Journal of Theoretical and Applied Electronic Commerce Research",3, 2,0,0,3,7,7,2,0,4,3,3,4,0,2,0,35,0,35
2016,"Defining and identifying disruptive innovations","Nagy D., Schuessler J., Dubinsky A.",00198501,"Industrial Marketing Management",57, ,0,0,0,0,0,0,0,0,0,1,7,10,14,2,34,0,34
2014,"The role of public and private protection in disruptive innovation: The automotive industry and the emergence of low-emission vehicles","Pinkse J., Bohnsack R., Kolk A.",07376782,"Journal of Product Innovation Management",31, 1,0,0,0,0,0,0,0,2,5,3,6,8,10,0,34,0,34
2014,"Disruptive innovations in complex product systems industries: A case study","Dedehayir O., Nokelainen T., Makinen S.J.",09234748,"Journal of Engineering and Technology Management - JET-M",33, ,0,0,0,0,0,0,0,0,3,9,4,5,12,0,33,0,33
2012,"A Firm-Level Analysis on the Relative Difference between Technology-Driven and Market-Driven Disruptive Business Model Innovations","Habtay S.R.",09631690,"Creativity and Innovation Management",21, 3,0,0,0,0,0,0,1,5,1,5,10,2,7,2,33,0,33
2018,"Fintech: Ecosystem, business models, investment decisions, and challenges","Lee I., Shin Y.J.",00076813,"Business Horizons",61, 1,0,0,0,0,0,0,0,0,0,0,0,7,24,1,32,0,32
2015,"Measuring the impact of BIM on labor productivity in a small specialty contracting enterprise through action-research","Poirier E.A., Staub-French S., Forgues D.",09265805,"Automation in Construction",58, ,0,0,0,0,0,0,0,0,1,3,7,10,10,1,32,0,32
2014,"Dynamic commercialization strategies for disruptive technologies: Evidence from the speech recognition industry","Marx M., Gans J.S., Hsu D.H.",00251909,"Management Science",60, 12,0,0,0,0,0,0,0,0,1,6,8,3,13,0,31,0,31
2017,"Technology convergence, open innovation, and dynamic economy","Park H.S.",21998531,"Journal of Open Innovation: Technology, Market, and Complexity",3, 4,0,0,0,0,0,0,0,0,0,0,0,13,17,0,30,0,30
2017,"The additive manufacturing innovation: A range of implications","Steenhuis H.-J., Pretorius L.",1741038X,"Journal of Manufacturing Technology Management",28, 1,0,0,0,0,0,0,0,0,0,0,2,10,17,1,30,0,30
2012,"Trends in pancreatic pathology practice before and after implementation of endoscopic ultrasound-guided fine-needle aspiration: An example of disruptive innovation effect?","Eltoum I.A., Alston E.A., Roberson J.",00039985,"Archives of Pathology and Laboratory Medicine",136, 4,0,0,0,0,0,0,4,4,9,9,3,0,1,0,30,0,30
2016,"Will the momentum of the electric car last? Testing an hypothesis on disruptive innovation","Dijk M., Wells P., Kemp R.",00401625,"Technological Forecasting and Social Change",105, ,0,0,0,0,0,0,0,0,0,1,4,11,12,1,29,0,29
2014,"Emerging lessons from regional and state innovation in value-based payment reform: Balancing collaboration and disruptive innovation","Conrad D.A., Grembowski D., Hernandez S.E., Lau B., Marcus-Smith M.",0887378X,"Milbank Quarterly",92, 3,0,0,0,0,0,0,0,0,4,8,7,5,4,1,29,0,29
2011,"The increasing multifunctionality of agricultural raw materials: Three dilemmas for innovation and adoption","Boehlje M., Broring S.",15592448,"International Food and Agribusiness Management Review",14, 2,0,0,0,0,2,0,2,2,2,4,2,7,7,1,29,0,29
2016,"Innovation and technology for the elderly: Systematic literature review","Mostaghel R.",01482963,"Journal of Business Research",69, 11,0,0,0,0,0,0,0,0,0,0,4,10,12,2,28,0,28
2015,"5-(Chloromethyl)furfural is the New HMF: Functionally Equivalent but More Practical in Terms of its Production from Biomass","Mascal M.",18645631,"ChemSusChem",8, 20,0,0,0,0,0,0,0,0,2,1,10,4,10,1,28,0,28
2013,"Inscribing value on business model innovations: Insights from industrial projects commercializing disruptive digital innovations","Simmons G., Palmer M., Truong Y.",00198501,"Industrial Marketing Management",42, 5,0,0,0,0,0,0,1,3,1,3,6,0,14,0,28,0,28
2008,"A strategy for opening a new market and encroaching on the lower end of the existing market","Druehl C.T., Schmidt G.M.",10591478,"Production and Operations Management",17, 1,0,0,1,4,5,3,6,0,2,3,2,2,0,0,28,0,28
2015,"Differences between early adopters of disruptive and sustaining innovations","Reinhardt R., Gurtner S.",01482963,"Journal of Business Research",68, 1,0,0,0,0,0,0,0,0,0,4,8,7,6,2,27,0,27
2009,"Use of information and communication technologies to support effective work practice innovation in the health sector: A multi-site study","Westbrook J.I., Braithwaite J., Gibson K., Paoloni R., Callen J., Georgiou A., Creswick N., Robertson L.",14726963,"BMC Health Services Research",9, ,0,0,0,0,4,4,6,3,2,1,4,1,2,0,27,0,27
2015,"[Adaptation of traditional media to the metamedia innovation, Adaptación de los medios tradicionales a la innovación de los metamedios]","Campos-Freire F.",13866710,"Profesional de la Informacion",24, 4,0,0,0,0,0,0,0,0,0,10,5,5,5,0,25,0,25
2013,"Crowd-funded micro-grants for genomics and big data: An actionable idea connecting small (Artisan) science, infrastructure science, and citizen philanthropy","Ozdemir V., Badr K.F., Dove E.S., Endrenyi L., Geraci C.J., Hotez P.J., Milius D., Neves-Pereira M., Pang T., Rotimi C.N., Sabra R., Sarkissian C.N., Srivastava S., Tims H., Zgheib N.K., Kickbusch I.",15362310,"OMICS A Journal of Integrative Biology",17, 4,0,0,0,0,0,0,2,5,6,3,4,4,1,0,25,0,25
2013,"Cloud computing: A democratizing force?","Sultan N.",02684012,"International Journal of Information Management",33, 5,0,0,0,0,0,0,0,5,8,1,3,3,5,0,25,0,25
2016,"Understanding the influence of absorptive capacity and ambidexterity on the process of business model change – the case of on-premise and cloud-computing software","Kranz J.J., Hanelt A., Kolbe L.M.",13501917,"Information Systems Journal",26, 5,0,0,0,0,0,0,0,0,0,2,5,10,6,1,24,0,24
2015,"Opportunities for disruption","Hang C.C., Garnsey E., Ruan Y.",01664972,"Technovation",39-40, 1,0,0,0,0,0,0,0,0,1,3,5,7,8,0,24,0,24
2013,"Ex-ante evaluation of disruptive susceptibility in established value networks - When are markets ready for disruptive innovations?","Klenner P., Husig S., Dowling M.",00487333,"Research Policy",42, 4,0,0,0,0,0,0,1,1,2,6,2,3,9,0,24,0,24
2012,"Reverse innovation: a global growth strategy that could pre-empt disruption at home","Govindarajan V., Trimble C.",10878572,"Strategy &amp; Leadership",40, 5,0,0,0,0,0,0,0,1,3,5,3,7,5,0,24,0,24
2013,"The disruptive nature of digitization: The case of the recorded music industry","Moreau F.",14808986,"International Journal of Arts Management",15, 2,0,0,0,0,0,0,0,0,1,4,3,6,8,1,23,0,23
2012,"Extension's future: Time for disruptive innovation","Franz N.K., Cox R.A.",10775315,"Journal of Extension",50, 2,0,0,0,0,0,0,6,2,5,2,1,5,2,0,23,0,23
2018,"The academic-practice gap: Strategies for an enduring problem","Huston C.L., Phillips B., Jeffries P., Todero C., Rich J., Knecht P., Sommer S., Lewis M.P.",00296473,"Nursing Forum",53, 1,0,0,0,0,0,0,0,0,0,0,0,4,15,3,22,0,22
2016,"Consumer additive manufacturing or 3D printing adoption: An exploratory study","Steenhuis H.-J., Pretorius L.",1741038X,"Journal of Manufacturing Technology Management",27, 7,0,0,0,0,0,0,0,0,0,1,3,5,13,0,22,0,22
2011,"Disruptive innovation: The future of healthcare?","Yellowlees P., Odor A., Patrice K., Parish M.B., Nafiz N., Iosif A.-M., Hilty D.",15305627,"Telemedicine and e-Health",17, 3,0,0,0,0,0,1,3,2,8,1,4,2,1,0,22,0,22
2017,"Caring for sharing? The collaborative economy under EU law","Hatzopoulos V., Roma S.",01650750,"Common Market Law Review",54, 1,0,0,0,0,0,0,0,0,0,1,3,11,6,0,21,0,21
2013,"Massive Open Online Courses: Disruptive innovations or disturbing inventions?","de Langen F., van den Bosch H.",02680513,"Open Learning",28, 3,0,0,0,0,0,0,0,2,5,3,3,4,4,0,21,0,21
2012,"Communication technology and social media: Opportunities and implications for healthcare systems","Weaver B., Lindsay B., Gitelman B.",10913734,"Online Journal of Issues in Nursing",17, 3,0,0,0,0,0,0,0,4,9,2,5,1,0,0,21,0,21
2013,"Open access, Megajournals, And moocs: On the political economy of academic unbundling","Wellen R.",21582440,"SAGE Open",3, 4,0,0,0,0,0,0,0,3,3,2,3,4,5,0,20,0,20
2018,"Modern Electrical Machine Design Optimization: Techniques, Trends, and Best Practices","Bramerdorfer G., Tapia J.A., Pyrhonen J.J., Cavagnino A.",02780046,"IEEE Transactions on Industrial Electronics",65, 10,0,0,0,0,0,0,0,0,0,0,0,3,15,1,19,0,19
2016,"Essential patents and standard dynamics","Baron J., Pohlmann T., Blind K.",00487333,"Research Policy",45, 9,0,0,0,0,0,0,0,0,0,0,6,7,6,0,19,0,19
2016,"Open-source, self-replicating 3-D printer factory for small-business manufacturing","Laplume A., Anzalone G.C., Pearce J.M.",02683768,"International Journal of Advanced Manufacturing Technology",85, 1-4,0,0,0,0,0,0,0,0,0,2,2,8,7,0,19,0,19
2015,"Changing the fate of fuel cell vehicles: Can lessons be learnt from Tesla Motors?","Hardman S., Shiu E., Steinberger-Wilckens R.",03603199,"International Journal of Hydrogen Energy",40, 4,0,0,0,0,0,0,0,0,3,3,2,6,5,0,19,0,19
2011,"An assessment framework for disruptive innovation","Hang C.C., Chen J., yu D.",14636689,"foresight",13, 5,0,0,0,0,0,0,2,4,2,3,3,1,4,0,19,0,19
2011,"Applying the disruptive innovation framework to the silver market","Kohlbacher F., Hang C.C.",01635158,"Ageing International",36, 1,0,0,0,0,0,1,2,1,7,2,1,2,3,0,19,0,19
2009,"Exploring factors influencing incumbents’ response to disruptive innovation","Sandstrom C., Magnusson M., Jornmark J.",09631690,"Creativity and Innovation Management",18, 1,0,0,0,0,1,3,0,1,2,1,1,6,3,1,19,0,19
2008,"Disruptive technologies, services, or business models?","Yovanof G.S., Hazapis G.N.",09296212,"Wireless Personal Communications",45, 4,0,0,0,2,3,2,3,1,2,2,0,2,2,0,19,0,19
2018,"Co-evolution between urban sustainability and business ecosystem innovation: Evidence from the sharing mobility sector in Shanghai","Ma Y., Rong K., Mangalagiu D., Thornton T.F., Zhu D.",09596526,"Journal of Cleaner Production",188, ,0,0,0,0,0,0,0,0,0,0,0,2,14,2,18,0,18
2018,"Insights into relationships between disruptive technology/innovation and emerging technology: A bibliometric perspective","Li M., Porter A.L., Suominen A.",00401625,"Technological Forecasting and Social Change",129, ,0,0,0,0,0,0,0,0,0,0,0,1,16,1,18,0,18
2017,"Autonomous vehicles: Developing a public health research agenda to frame the future of transportation policy","Crayton T.J., Meier B.M.",22141405,"Journal of Transport and Health",6, ,0,0,0,0,0,0,0,0,0,0,1,6,11,0,18,0,18
2016,"Robotic surgery: disruptive innovation or unfulfilled promise? A systematic review and meta-analysis of the first 30 years","Tan A., Ashrafian H., Scott A.J., Mason S.E., Harling L., Athanasiou T., Darzi A.",09302794,"Surgical Endoscopy",30, 10,0,0,0,0,0,0,0,0,0,2,4,6,5,1,18,0,18
2015,"Crowdfunding 2.0: The next-generation philanthropy: A new approach for philanthropists and citizens to co-fund disruptive innovation in global health","Ozdemir V., Faris J., Srivastava S.",1469221X,"EMBO Reports",16, 3,0,0,0,0,0,0,0,0,3,4,6,1,4,0,18,0,18
2014,"Bitcoin: Benefit or curse?","Hurlburt G.F., Bojanova I.",15209202,"IT Professional",16, 3,0,0,0,0,0,0,0,1,4,1,2,5,5,0,18,0,18
2013,"Innovation and imitation effects' dynamics in technology adoption","Lee S.-G., Trimi S., Kim C.",02635577,"Industrial Management &amp; Data Systems",113, 6,0,0,0,0,0,0,1,4,4,6,1,0,2,0,18,0,18
2011,"Enabling disruptive innovations through the use of customer analysis methods","Reinhardt R., Gurtner S.",18636683,"Review of Managerial Science",5, 4,0,0,0,0,1,0,0,2,1,5,4,3,2,0,18,0,18
2017,"Future applications of blockchain in business and management: A Delphi study","White G.R.T.",10991697,"Strategic Change",26, 5,0,0,0,0,0,0,0,0,0,0,0,3,12,2,17,0,17
2013,"Osmotic actuation modelling for innovative biorobotic solutions inspired by the plant kingdom","Sinibaldi E., Puleo G.L., Mattioli F., Mattoli V., Di Michele F., Beccai L., Tramacere F., Mancuso S., Mazzolai B.",17483182,"Bioinspiration and Biomimetics",8, 2,0,0,0,0,0,0,2,4,3,2,3,1,2,0,17,0,17
2010,"Optimizing your operating room: Or, why large, traditional hospitals don't work","Girotto J.A., Koltz P.F., Drugas G.",17439191,"International Journal of Surgery",8, 5,0,0,0,1,0,1,2,1,1,1,4,3,3,0,17,0,17
2017,"Differing Experiences with Pre-Exposure Prophylaxis in Boston among Lesbian, Gay, Bisexual, and Transgender Specialists and Generalists in Primary Care: Implications for Scale-Up","Krakower D.S., Ware N.C., Maloney K.M., Wilson I.B., Wong J.B., Mayer K.H.",10872914,"AIDS Patient Care and STDs",31, 7,0,0,0,0,0,0,0,0,0,0,1,6,9,0,16,0,16
2014,"The Robot Eye Witness: Extending visual journalism through drone surveillance","Gynnild A.",21670811,"Digital Journalism",2, 3,0,0,0,0,0,0,0,0,0,2,3,5,6,0,16,0,16
2014,"The value of online learning and MRI: Finding a niche for expensive technologies","Cook D.A.",0142159X,"Medical Teacher",36, 11,0,0,0,0,0,0,0,0,5,2,3,2,4,0,16,0,16
2014,"Early vs. late adoption of radical information technology innovations across software development organizations: An extension of the disruptive information technology innovation model","Carlo J.L., Gaskin J., Lyytinen K., Rose G.M.",13501917,"Information Systems Journal",24, 6,0,0,0,0,0,0,0,1,1,1,5,4,4,0,16,0,16
